portfolio_id,farm_id,name,partner_longitude,partner_latitude,area
virtualfarmer.portfolio_453,virtualfarmer.farm_1292,Lusthof,27.779936341986456,-28.6567335,197.94
virtualfarmer.portfolio_721,virtualfarmer.farm_1193,Irrigasie,28.283248990445784,-25.247972,4209.89
virtualfarmer.portfolio_81,virtualfarmer.farm_1556,Hemsley,29.549003317662752,-28.4890425,548.76
virtualfarmer.portfolio_113,virtualfarmer.farm_80,Grootkuil,27.433134429308794,-24.753603,347.222
virtualfarmer.portfolio_87,virtualfarmer.farm_91,Ongegund,27.085257886891966,-28.0894475,1.756
virtualfarmer.portfolio_87,virtualfarmer.farm_92,Kalkoenkrans,26.768858876024737,-28.1423095,359.276
virtualfarmer.portfolio_87,virtualfarmer.farm_93,Eensgevonden,26.47826552040827,-27.995086999999998,323.265
virtualfarmer.portfolio_225,virtualfarmer.farm_896,Joubert FC,27.63195562297483,-28.025475,1696.17
virtualfarmer.portfolio_522,virtualfarmer.farm_966,Klippan,26.790622882331608,-27.3281395,1160.32
virtualfarmer.portfolio_535,virtualfarmer.farm_1029,Rotterdam,28.879541867325734,-24.566815,382.31
virtualfarmer.portfolio_537,virtualfarmer.farm_1042,Goedgedacht,29.130002139185653,-24.462819,179.2
virtualfarmer.portfolio_537,virtualfarmer.farm_1044,Kromdraai,29.15176360061313,-24.4194335,1017.56
virtualfarmer.portfolio_526,virtualfarmer.farm_1046,Klavervalley,29.032707950711377,-24.6107985,1278.53
virtualfarmer.portfolio_453,virtualfarmer.farm_1293,Load Star,27.76057056814436,-28.6633825,440.02
virtualfarmer.portfolio_750,virtualfarmer.farm_1260,Peace Haven,25.13148103432208,-28.038642,972.29
virtualfarmer.portfolio_484,virtualfarmer.farm_1097,Doornkuil,25.90946284460665,-26.813162,133.89
virtualfarmer.portfolio_530,virtualfarmer.farm_1034,Conterberg,29.13933531878832,-24.7692525,772.72
virtualfarmer.portfolio_520,virtualfarmer.farm_1036,Kalkvalley,29.20964313454467,-24.4304955,1161.88
virtualfarmer.portfolio_898,virtualfarmer.farm_1425,Kalkfontein,25.950199513312747,-26.190871,312.7
virtualfarmer.portfolio_101,virtualfarmer.farm_207,Goedgedacht,28.400331840668432,-27.042018499999998,388.656
virtualfarmer.portfolio_74,virtualfarmer.farm_229,Grobbelaars Kloof,29.778992683112342,-28.685465999999998,1837.984
virtualfarmer.portfolio_160,virtualfarmer.farm_200,Klipfontein,29.218526325418996,-25.9571715,466.66
virtualfarmer.portfolio_81,virtualfarmer.farm_133,Erasmus Dam,29.48708407884842,-28.893635500000002,280.205
virtualfarmer.portfolio_81,virtualfarmer.farm_134,Glen Gray/Bethani,29.45900438386132,-28.84655,619.658
virtualfarmer.portfolio_81,virtualfarmer.farm_135,Noodhulp,29.547310280986785,-28.853306,361.067
virtualfarmer.portfolio_81,virtualfarmer.farm_136,The Gums,29.562042906971918,-28.9358605,300.248
virtualfarmer.portfolio_97,virtualfarmer.farm_144,Blue Bank,29.538451301847466,-28.491813,850.792
virtualfarmer.portfolio_255,virtualfarmer.farm_576,Hamelfontein,29.349047645187547,-26.912688,476.76
virtualfarmer.portfolio_83,virtualfarmer.farm_150,Kleine Waterval,29.328906516134726,-28.7142525,165.39
virtualfarmer.portfolio_83,virtualfarmer.farm_151,Loskop,29.2301846198044,-28.6390755,621.371
virtualfarmer.portfolio_83,virtualfarmer.farm_152,Newcastle,29.088198107729934,-28.6048805,868.277
virtualfarmer.portfolio_892,virtualfarmer.farm_1458,Kreekuil,25.949786787923536,-26.837257,520.86
virtualfarmer.portfolio_522,virtualfarmer.farm_967,Johannesrust,26.694028100372677,-27.466877500000002,1093.35
virtualfarmer.portfolio_530,virtualfarmer.farm_1032,Mooipan,28.91862039747564,-24.591262,417.69
virtualfarmer.portfolio_715,virtualfarmer.farm_1168,Dipka,20.6582138504613,-34.160588000000004,504.68
virtualfarmer.portfolio_715,virtualfarmer.farm_1169,Wankie,20.71953425385413,-34.1613925,362.05
virtualfarmer.portfolio_91,virtualfarmer.farm_160,Vrede,28.773938841598024,-27.0372525,315.055
virtualfarmer.portfolio_101,virtualfarmer.farm_208,Muirton,28.457433171610354,-27.007683999999998,1204.99
virtualfarmer.portfolio_74,virtualfarmer.farm_231,Lot A 4 B Winterton Settlement,29.51277272971614,-28.8035255,21.079
virtualfarmer.portfolio_95,virtualfarmer.farm_238,Roode Poort,29.95423266512104,-28.3216455,1809.871
virtualfarmer.portfolio_99,virtualfarmer.farm_205,Eureka,29.034195799689826,-28.17352,541.534
virtualfarmer.portfolio_74,virtualfarmer.farm_230,Lot A 4 A Winterton Settlement,29.52110430579483,-28.796697,146.747
virtualfarmer.portfolio_522,virtualfarmer.farm_963,Damplaats,26.773791456742508,-27.480691,319.36
virtualfarmer.portfolio_538,virtualfarmer.farm_1037,Haakdoornkuil,28.864606421901346,-24.437901,349.17
virtualfarmer.portfolio_530,virtualfarmer.farm_1031,Vogelstruispan,28.873686215970146,-24.587998,300.79
virtualfarmer.portfolio_901,virtualfarmer.farm_1430,De Paarl,25.958148058357075,-26.1277275,400.85
virtualfarmer.portfolio_111,virtualfarmer.farm_181,Deel Drift,29.63723036592547,-28.760426,1052.656
virtualfarmer.portfolio_453,virtualfarmer.farm_1294,The Willows,27.76712203973116,-28.670662,432.17
virtualfarmer.portfolio_101,virtualfarmer.farm_209,Van Reenens Kop,28.467058230764398,-27.083160499999998,2532.628
virtualfarmer.portfolio_255,virtualfarmer.farm_573,Bosjesspruit,28.82490623051636,-27.0061075,2177.54
virtualfarmer.portfolio_111,virtualfarmer.farm_182,Klipplaats Fontein,29.418558263364403,-28.6010665,188.977
virtualfarmer.portfolio_287,virtualfarmer.farm_602,Goedgedacht,29.479420257058194,-25.326262,1106.69
